",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Min"",""TMn"",""ETXs"",""Rso"""
"2026-02-09 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-08 00:00:00"",8.4,""2026-02-08 11:19:00"",1.7,1.4,257.8,29.0,12.1,""2026-02-08 05:01:00"",19.4,""2026-02-08 10:59:00"",14.3,64.7,""2026-02-08 10:43:00"",93.5,""2026-02-08 21:23:00"",10.0,""2026-02-08 00:00:00"",14.5,""2026-02-08 10:58:00"",11.8,1490.9,""2026-02-08 10:29:00"",143.2,12.4,0.0,768.2,""2026-02-08 16:10:00"",771.9,""2026-02-08 08:53:00"",770.2,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-08 06:01:00"",14.3,""2026-02-08 13:34:00"",12.9,12.3,""2026-02-08 00:00:00"",24.9,""2026-02-08 11:07:00"",15.8,3.7,125.5,86400.0,19.4,""2026-02-08 11:00:00"",1.6,1.4,12.7,3.2,12.1,""2026-02-08 05:01:00"",2.0,4.0"
"2026-02-10 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-09 00:01:00"",8.4,""2026-02-09 11:33:00"",1.3,1.5,265.3,42.6,11.9,""2026-02-09 23:59:00"",15.5,""2026-02-09 09:42:00"",13.4,79.9,""2026-02-09 10:04:00"",93.0,""2026-02-09 12:08:00"",10.4,""2026-02-09 23:58:00"",13.7,""2026-02-09 13:08:00"",11.7,721.6,""2026-02-09 13:32:00"",96.2,8.3,7.6,768.1,""2026-02-09 15:39:00"",771.3,""2026-02-09 08:23:00"",769.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-09 05:52:00"",14.4,""2026-02-09 12:24:00"",12.8,11.9,""2026-02-10 00:00:00"",18.7,""2026-02-09 10:09:00"",14.4,3.7,132.1,86400.0,15.4,""2026-02-09 09:43:00"",1.5,1.4,12.3,0.3,11.9,""2026-02-09 23:59:00"",1.4,4.0"
"2026-02-11 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-10 00:00:00"",8.4,""2026-02-10 12:13:00"",0.9,1.2,326.5,54.3,11.8,""2026-02-10 00:37:00"",20.2,""2026-02-10 12:50:00"",15.1,57.9,""2026-02-10 13:00:00"",94.1,""2026-02-10 07:07:00"",10.4,""2026-02-10 00:00:00"",14.3,""2026-02-10 09:06:00"",12.2,1366.8,""2026-02-10 10:26:00"",227.2,19.6,0.4,769.2,""2026-02-10 14:56:00"",772.6,""2026-02-10 19:57:00"",770.6,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-02-10 05:48:00"",14.2,""2026-02-10 11:04:00"",12.8,11.4,""2026-02-10 00:42:00"",26.0,""2026-02-10 15:36:00"",17.4,3.7,134.4,86400.0,20.2,""2026-02-10 12:50:00"",1.7,1.4,13.2,6.5,11.8,""2026-02-10 00:37:00"",3.5,4.0"
"2026-02-12 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-11 00:00:00"",6.2,""2026-02-11 02:32:00"",1.1,1.2,310.5,76.3,11.2,""2026-02-11 06:14:00"",20.9,""2026-02-11 10:15:00"",15.1,53.9,""2026-02-11 09:55:00"",94.3,""2026-02-11 04:25:00"",10.1,""2026-02-11 09:16:00"",15.4,""2026-02-11 12:58:00"",12.4,1484.2,""2026-02-11 10:26:00"",212.8,18.4,10.8,770.0,""2026-02-11 15:27:00"",773.4,""2026-02-11 11:09:00"",771.9,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-11 04:43:00"",14.3,""2026-02-11 12:51:00"",12.8,11.3,""2026-02-11 06:22:00"",28.2,""2026-02-11 10:36:00"",17.7,3.7,116.7,86400.0,20.9,""2026-02-11 10:16:00"",1.7,1.4,13.3,7.2,11.2,""2026-02-11 06:16:00"",3.2,4.0"
"2026-02-13 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-12 00:20:00"",7.0,""2026-02-12 16:31:00"",1.0,1.0,25.4,59.1,11.5,""2026-02-12 20:34:00"",20.1,""2026-02-12 08:44:00"",14.6,55.6,""2026-02-12 15:32:00"",94.4,""2026-02-12 05:13:00"",10.1,""2026-02-12 09:30:00"",15.7,""2026-02-12 07:29:00"",12.0,1043.9,""2026-02-12 09:10:00"",136.9,11.8,26.8,501.9,""2026-02-12 09:28:00"",773.1,""2026-02-12 08:21:00"",771.1,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-12 06:00:00"",14.3,""2026-02-12 14:05:00"",12.8,12.1,""2026-02-13 00:00:00"",28.4,""2026-02-12 09:16:00"",16.5,3.7,129.8,86400.0,20.0,""2026-02-12 08:44:00"",1.7,1.4,12.9,4.2,11.5,""2026-02-12 20:34:00"",2.1,4.0"
"2026-02-14 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-13 00:00:00"",6.2,""2026-02-13 11:42:00"",0.7,1.2,343.1,51.3,12.3,""2026-02-13 05:27:00"",20.2,""2026-02-13 09:33:00"",14.9,58.1,""2026-02-13 09:29:00"",91.8,""2026-02-13 19:47:00"",7.8,""2026-02-13 02:45:00"",13.8,""2026-02-13 10:50:00"",11.2,1172.3,""2026-02-13 09:12:00"",188.9,16.3,3.8,767.5,""2026-02-13 15:24:00"",771.3,""2026-02-13 08:28:00"",769.6,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-02-13 05:37:00"",14.3,""2026-02-13 10:48:00"",12.8,11.9,""2026-02-13 00:41:00"",27.2,""2026-02-13 09:45:00"",16.9,3.7,89.0,86400.0,20.1,""2026-02-13 09:33:00"",1.7,1.3,12.6,4.7,12.3,""2026-02-13 05:28:00"",2.9,4.0"
"2026-02-15 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-14 00:00:00"",8.4,""2026-02-14 12:30:00"",0.9,1.2,318.9,53.0,12.1,""2026-02-14 02:49:00"",21.3,""2026-02-14 11:22:00"",15.3,53.0,""2026-02-14 11:27:00"",93.5,""2026-02-14 23:34:00"",10.2,""2026-02-14 01:31:00"",14.8,""2026-02-14 12:22:00"",11.9,1345.8,""2026-02-14 11:28:00"",210.9,18.2,0.6,768.3,""2026-02-14 14:45:00"",771.8,""2026-02-14 22:11:00"",770.0,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-14 05:39:00"",14.2,""2026-02-14 16:49:00"",12.8,11.6,""2026-02-14 02:57:00"",28.6,""2026-02-14 10:17:00"",17.5,3.7,117.7,86400.0,21.3,""2026-02-14 11:23:00"",1.8,1.4,13.1,6.4,12.1,""2026-02-14 02:49:00"",3.3,4.0"
"2026-02-16 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-15 00:00:00"",7.0,""2026-02-15 14:46:00"",1.5,1.4,265.2,55.4,12.8,""2026-02-15 06:18:00"",20.5,""2026-02-15 14:39:00"",14.9,56.8,""2026-02-15 14:40:00"",93.9,""2026-02-15 22:55:00"",11.1,""2026-02-15 11:18:00"",14.8,""2026-02-15 15:25:00"",12.4,1211.9,""2026-02-15 13:54:00"",153.4,13.3,0.0,769.3,""2026-02-15 15:56:00"",773.4,""2026-02-15 09:26:00"",771.4,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-15 06:02:00"",13.5,""2026-02-15 10:07:00"",12.8,13.1,""2026-02-15 04:17:00"",24.3,""2026-02-15 15:33:00"",16.7,3.7,110.2,86400.0,20.5,""2026-02-15 14:45:00"",1.7,1.4,13.3,2.1,12.8,""2026-02-15 06:19:00"",2.3,4.0"
"2026-02-17 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-16 00:00:00"",7.0,""2026-02-16 14:37:00"",1.5,1.3,257.8,29.1,12.1,""2026-02-16 23:40:00"",18.6,""2026-02-16 14:08:00"",14.4,62.6,""2026-02-16 14:11:00"",93.3,""2026-02-16 23:59:00"",9.3,""2026-02-16 04:54:00"",13.3,""2026-02-16 10:45:00"",11.4,716.7,""2026-02-16 13:32:00"",125.8,10.9,4.6,767.7,""2026-02-16 15:56:00"",771.8,""2026-02-16 00:08:00"",770.0,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-16 05:46:00"",14.2,""2026-02-16 08:17:00"",12.8,11.6,""2026-02-16 05:44:00"",23.2,""2026-02-16 14:22:00"",15.7,3.7,112.7,86400.0,18.6,""2026-02-16 14:08:00"",1.6,1.3,12.5,1.1,12.1,""2026-02-16 23:39:00"",1.8,4.0"
"2026-02-18 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-17 00:00:00"",4.7,""2026-02-17 09:49:00"",0.9,0.9,287.6,42.5,11.8,""2026-02-17 06:07:00"",17.7,""2026-02-17 12:27:00"",13.5,74.8,""2026-02-17 12:29:00"",94.6,""2026-02-17 06:56:00"",10.9,""2026-02-17 02:06:00"",14.8,""2026-02-17 10:05:00"",12.1,1669.4,""2026-02-17 12:20:00"",139.0,12.0,12.2,766.7,""2026-02-17 16:39:00"",770.0,""2026-02-17 08:55:00"",768.6,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-17 06:17:00"",14.4,""2026-02-17 09:40:00"",12.9,12.6,""2026-02-17 06:16:00"",22.2,""2026-02-17 12:40:00"",15.5,3.7,227.9,86400.0,17.7,""2026-02-17 12:27:00"",1.6,1.4,12.6,1.6,11.8,""2026-02-17 06:04:00"",2.1,4.0"
