",""Smp"",""Avg"",""Max"",""TMx"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Smp"",""Tot"",""Avg"",""Max"",""TMx"",""Tot"",""Avg"",""Avg"",""Max"",""Min"",""Tot"",""Avg"",""Avg"",""Avg"",""ETXs"",""Rso"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"""
"2026-02-09 00:00:00,""UKZN_SchoolMet_J3992"",1.8,9.2,""2026-02-08 17:45:00"",181.8,70.5,16.9,""2026-02-08 04:54:00"",27.0,""2026-02-08 12:49:00"",21.0,68.9,""2026-02-08 12:49:00"",100.0,""2026-02-08 00:00:00"",100.0,13.6,194.3,1014.4,""2026-02-08 11:39:00"",16.8,19.2,19.8,28.9,16.9,4.7,2.5,2.2,0.3,3.0,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-08 03:37:00"",13.7,""2026-02-08 07:50:00"",13.3,20.6,""2026-02-08 05:11:00"",39.8,""2026-02-08 10:32:00"",28.1,""OK ON POWER UP"",NAN,86400.0"
"2026-02-10 00:00:00,""UKZN_SchoolMet_J3992"",1.9,8.4,""2026-02-09 16:24:00"",95.9,76.0,17.2,""2026-02-09 04:34:00"",29.8,""2026-02-09 14:51:00"",21.7,57.3,""2026-02-09 14:52:00"",100.0,""2026-02-09 00:00:00"",97.5,27.6,271.1,1079.6,""2026-02-09 12:08:00"",23.4,19.9,20.4,33.6,17.2,7.2,2.7,2.3,0.3,4.3,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-09 05:28:00"",13.7,""2026-02-09 07:56:00"",13.2,21.5,""2026-02-09 05:03:00"",43.4,""2026-02-09 15:03:00"",29.9,""OK ON POWER UP"",NAN,86400.0"
"2026-02-11 00:00:00,""UKZN_SchoolMet_J3992"",1.9,11.4,""2026-02-10 17:13:00"",293.2,53.5,17.2,""2026-02-10 04:00:00"",31.6,""2026-02-10 13:36:00"",21.9,42.1,""2026-02-10 13:24:00"",100.0,""2026-02-10 01:45:00"",84.4,1.8,252.5,957.1,""2026-02-10 13:59:00"",21.8,18.1,19.3,33.6,17.2,7.3,2.7,2.1,0.6,4.0,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-10 05:22:00"",13.7,""2026-02-10 07:51:00"",13.2,20.8,""2026-02-10 05:05:00"",44.4,""2026-02-10 14:07:00"",29.3,""OK ON POWER UP"",NAN,86400.0"
"2026-02-12 00:00:00,""UKZN_SchoolMet_J3992"",1.4,9.9,""2026-02-11 15:52:00"",286.0,66.5,16.6,""2026-02-11 05:28:00"",30.0,""2026-02-11 14:06:00"",22.2,54.3,""2026-02-11 12:11:00"",100.0,""2026-02-11 23:44:00"",98.5,1.8,254.5,994.0,""2026-02-11 11:47:00"",22.0,18.7,19.7,34.6,16.6,6.9,2.7,2.2,0.6,4.2,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-11 03:06:00"",13.9,""2026-02-11 08:13:00"",13.2,19.7,""2026-02-11 05:34:00"",43.5,""2026-02-11 14:23:00"",30.1,""OK ON POWER UP"",NAN,86400.0"
"2026-02-13 00:00:00,""UKZN_SchoolMet_J3992"",1.5,8.4,""2026-02-12 16:32:00"",134.5,64.5,17.4,""2026-02-12 01:24:00"",25.6,""2026-02-12 12:36:00"",20.8,63.8,""2026-02-12 03:51:00"",100.0,""2026-02-12 16:36:00"",98.8,2.6,209.8,1274.6,""2026-02-12 13:16:00"",18.1,18.5,19.3,25.6,17.4,6.3,2.5,2.1,0.3,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-12 02:35:00"",13.8,""2026-02-12 15:09:00"",13.3,21.1,""2026-02-12 01:43:00"",38.5,""2026-02-12 09:00:00"",28.2,""OK ON POWER UP"",NAN,86400.0"
"2026-02-14 00:00:00,""UKZN_SchoolMet_J3992"",1.8,7.7,""2026-02-13 02:17:00"",353.1,75.3,17.7,""2026-02-13 03:28:00"",24.6,""2026-02-13 15:30:00"",20.4,82.0,""2026-02-13 10:19:00"",100.0,""2026-02-13 04:56:00"",90.6,1.0,164.1,1230.3,""2026-02-13 13:50:00"",14.2,19.8,19.9,24.6,17.7,3.7,2.4,2.3,0.1,2.5,3.6,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-13 04:11:00"",13.8,""2026-02-13 08:33:00"",13.3,21.5,""2026-02-13 03:34:00"",39.9,""2026-02-13 15:42:00"",28.0,""OK ON POWER UP"",NAN,86400.0"
"2026-02-15 00:00:00,""UKZN_SchoolMet_J3992"",2.1,7.7,""2026-02-14 10:37:00"",180.2,34.8,12.2,""2026-02-14 23:37:00"",20.8,""2026-02-14 00:53:00"",16.1,85.7,""2026-02-14 10:39:00"",100.0,""2026-02-14 01:20:00"",100.0,2.8,74.9,622.6,""2026-02-14 10:20:00"",6.5,15.5,15.7,20.8,12.2,0.6,1.8,1.8,0.1,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-14 05:12:00"",13.8,""2026-02-14 09:25:00"",13.3,16.5,""2026-02-14 23:19:00"",31.1,""2026-02-14 10:57:00"",22.2,""OK ON POWER UP"",NAN,86400.0"
"2026-02-16 00:00:00,""UKZN_SchoolMet_J3992"",2.0,7.7,""2026-02-15 19:06:00"",149.5,37.5,11.5,""2026-02-15 05:25:00"",17.9,""2026-02-15 12:50:00"",13.3,79.3,""2026-02-15 12:52:00"",100.0,""2026-02-15 00:00:00"",100.0,1.8,126.8,1430.5,""2026-02-15 12:46:00"",11.0,12.8,13.0,17.9,11.5,2.9,1.5,1.5,0.0,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.1,""2026-02-15 04:12:00"",13.9,""2026-02-15 09:12:00"",13.4,15.6,""2026-02-15 04:42:00"",30.6,""2026-02-15 13:07:00"",20.4,""OK ON POWER UP"",NAN,86400.0"
"2026-02-17 00:00:00,""UKZN_SchoolMet_J3992"",1.1,5.5,""2026-02-16 13:34:00"",103.1,58.2,10.3,""2026-02-16 05:03:00"",19.1,""2026-02-16 16:39:00"",14.6,72.0,""2026-02-16 14:45:00"",100.0,""2026-02-16 00:00:00"",99.1,0.2,180.8,1398.8,""2026-02-16 13:20:00"",15.6,13.1,13.6,19.1,10.3,4.1,1.7,1.5,0.2,2.6,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.1,""2026-02-16 05:20:00"",13.9,""2026-02-16 07:57:00"",13.4,13.2,""2026-02-16 05:17:00"",33.3,""2026-02-16 14:24:00"",23.0,""OK ON POWER UP"",NAN,86400.0"
"2026-02-18 00:00:00,""UKZN_SchoolMet_J3992"",1.2,6.2,""2026-02-17 13:03:00"",54.8,71.3,12.7,""2026-02-17 05:56:00"",24.0,""2026-02-17 15:09:00"",17.4,62.9,""2026-02-17 14:01:00"",100.0,""2026-02-17 02:06:00"",100.0,0.0,294.7,937.3,""2026-02-17 12:03:00"",25.5,15.5,16.1,24.0,12.7,7.8,2.0,1.8,0.3,4.5,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.1,""2026-02-17 02:02:00"",13.8,""2026-02-17 07:32:00"",13.3,17.0,""2026-02-17 05:45:00"",39.3,""2026-02-17 16:20:00"",26.9,""OK ON POWER UP"",NAN,86400.0"
