"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt_Avg"",""PingTime_Avg"",""ScanCount"",""HI_C_Max"",""HI_C_TMx"",""SVPWkPa_Avg"",""Vp_Avg"",""TwC_Avg"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"",""ETos"",""Rso"",""Thermocouple_airTC_Avg"",""Thermocouple_airTC_Max"",""Thermocouple_airTC_Min"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"",""V"",""msec"","""",""Deg C"",""Deg C"",""kPa"","""",""Deg C"",""hours"",""Deg C"",""Deg C"",""mm"",""MJ/m²"",""DegC"",""DegC"",""DegC"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Min"",""TMn"",""ETXs"",""Rso"",""Avg"",""Max"",""Min"""
"2026-02-09 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-08 07:00:00"",8.4,""2026-02-08 00:00:00"",3.5,1.5,135.2,35.9,14.3,""2026-02-08 04:59:00"",25.5,""2026-02-08 11:33:00"",18.6,0.3,""2026-02-08 21:22:00"",100.0,""2026-02-08 17:33:00"",-52.2,""2026-02-08 04:59:00"",25.0,""2026-02-08 11:37:00"",-26.7,1360.7,""2026-02-08 11:36:00"",307.3,26.6,0.0,827.0,""2026-02-08 16:16:00"",830.4,""2026-02-08 08:47:00"",828.6,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-08 05:41:00"",14.3,""2026-02-08 08:41:00"",12.8,15.6,""2026-02-08 05:20:00"",32.7,""2026-02-08 12:25:00"",22.4,3.7,85.4,86400.0,25.5,""2026-02-08 11:34:00"",2.2,0.7,8.3,10.0,14.3,""2026-02-08 04:58:00"",4.4,4.1,19.0,26.0,14.9"
"2026-02-10 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-09 09:05:00"",10.7,""2026-02-09 17:14:00"",4.5,1.6,141.6,21.4,13.4,""2026-02-09 06:02:00"",21.2,""2026-02-09 10:20:00"",17.0,0.3,""2026-02-09 23:23:00"",100.0,""2026-02-09 17:13:00"",-52.8,""2026-02-09 06:01:00"",20.8,""2026-02-09 10:18:00"",-27.1,1462.7,""2026-02-09 12:04:00"",295.7,25.6,0.0,827.7,""2026-02-09 03:06:00"",829.8,""2026-02-09 10:03:00"",828.6,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-09 05:43:00"",14.4,""2026-02-09 08:36:00"",12.9,15.3,""2026-02-09 20:58:00"",27.2,""2026-02-09 10:45:00"",20.3,3.7,78.3,86400.0,21.2,""2026-02-09 10:20:00"",2.0,0.6,7.4,9.9,13.4,""2026-02-09 06:01:00"",3.9,4.1,17.3,22.3,13.7"
"2026-02-11 00:00:00,""AfMount_AWS_2_5135"",0.9,""2026-02-10 13:09:00"",11.4,""2026-02-10 01:19:00"",4.8,1.3,136.9,23.0,14.1,""2026-02-10 05:20:00"",21.9,""2026-02-10 15:21:00"",17.2,0.3,""2026-02-10 05:26:00"",99.9,""2026-02-10 12:44:00"",-52.3,""2026-02-10 05:26:00"",21.9,""2026-02-10 15:20:00"",-41.0,1578.0,""2026-02-10 11:39:00"",230.3,19.9,0.4,827.8,""2026-02-10 01:43:00"",831.4,""2026-02-10 10:11:00"",829.5,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-10 06:01:00"",14.9,""2026-02-10 09:38:00"",12.9,15.4,""2026-02-10 05:47:00"",29.4,""2026-02-10 15:57:00"",20.6,3.7,80.4,86400.0,21.9,""2026-02-10 15:21:00"",2.0,0.3,5.1,6.1,14.1,""2026-02-10 05:21:00"",3.0,4.2,17.7,22.8,14.6"
"2026-02-12 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-11 09:55:00"",11.4,""2026-02-11 01:17:00"",4.8,1.3,136.0,21.0,15.7,""2026-02-11 07:13:00"",23.1,""2026-02-11 12:44:00"",18.3,0.3,""2026-02-11 07:13:00"",99.9,""2026-02-11 16:57:00"",-50.9,""2026-02-11 07:13:00"",23.1,""2026-02-11 12:44:00"",-36.7,1447.3,""2026-02-11 10:38:00"",259.5,22.4,0.8,829.0,""2026-02-11 02:35:00"",832.0,""2026-02-11 09:52:00"",830.3,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-11 06:32:00"",14.7,""2026-02-11 09:09:00"",12.9,17.3,""2026-02-11 06:47:00"",29.9,""2026-02-11 15:16:00"",21.7,3.7,79.0,86400.0,23.0,""2026-02-11 12:45:00"",2.1,0.4,6.3,7.3,15.7,""2026-02-11 07:12:00"",3.5,4.1,18.8,23.9,16.1"
"2026-02-13 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-12 06:54:00"",9.9,""2026-02-12 16:17:00"",3.3,1.5,126.1,31.4,15.5,""2026-02-12 22:53:00"",24.7,""2026-02-12 14:58:00"",19.0,0.3,""2026-02-12 23:59:00"",100.0,""2026-02-12 17:57:00"",-51.1,""2026-02-12 23:59:00"",24.3,""2026-02-12 09:25:00"",-26.0,1442.0,""2026-02-12 11:33:00"",228.5,19.7,0.0,826.7,""2026-02-12 16:48:00"",830.7,""2026-02-12 09:47:00"",829.0,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.5,""2026-02-12 06:01:00"",14.5,""2026-02-12 10:44:00"",12.9,16.1,""2026-02-13 00:00:00"",32.6,""2026-02-12 15:02:00"",22.7,3.7,77.2,86400.0,24.6,""2026-02-12 14:58:00"",2.2,0.7,8.8,7.0,15.5,""2026-02-12 22:53:00"",3.3,4.0,19.4,25.2,16.0"
"2026-02-14 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-13 00:30:00"",7.0,""2026-02-13 17:54:00"",1.8,1.2,97.6,64.5,15.6,""2026-02-13 00:30:00"",28.1,""2026-02-13 14:22:00"",19.7,0.3,""2026-02-13 20:12:00"",100.0,""2026-02-13 17:05:00"",-51.1,""2026-02-13 00:04:00"",21.2,""2026-02-13 17:01:00"",-22.6,1328.5,""2026-02-13 11:12:00"",210.6,18.2,0.0,823.8,""2026-02-13 16:31:00"",828.1,""2026-02-13 08:35:00"",826.3,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-13 05:39:00"",14.8,""2026-02-13 09:19:00"",12.8,15.8,""2026-02-13 01:08:00"",35.7,""2026-02-13 14:30:00"",22.9,3.7,118.6,86400.0,28.1,""2026-02-13 14:22:00"",2.3,0.7,9.3,5.2,15.6,""2026-02-13 00:30:00"",3.3,4.0,20.0,28.1,16.1"
"2026-02-15 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-14 00:32:00"",9.2,""2026-02-14 07:07:00"",3.0,1.2,37.1,61.9,17.0,""2026-02-14 00:06:00"",27.6,""2026-02-14 13:38:00"",20.2,0.3,""2026-02-14 00:02:00"",100.0,""2026-02-14 19:09:00"",-50.5,""2026-02-14 00:02:00"",21.9,""2026-02-14 09:08:00"",-15.5,1290.2,""2026-02-14 11:36:00"",218.1,18.8,3.6,824.4,""2026-02-14 15:51:00"",828.0,""2026-02-14 22:13:00"",826.1,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.5,""2026-02-14 05:53:00"",14.4,""2026-02-14 08:20:00"",12.8,17.7,""2026-02-14 01:24:00"",36.4,""2026-02-14 13:45:00"",22.5,3.7,183.6,86400.0,28.1,""2026-02-14 13:41:00"",2.4,1.0,11.1,5.6,17.0,""2026-02-14 00:05:00"",3.3,4.0,20.6,27.9,17.4"
"2026-02-16 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-15 00:14:00"",9.9,""2026-02-15 23:58:00"",2.9,1.2,182.8,54.2,14.1,""2026-02-15 23:59:00"",21.9,""2026-02-15 12:31:00"",16.4,0.2,""2026-02-15 19:25:00"",100.0,""2026-02-15 10:45:00"",-53.3,""2026-02-15 19:25:00"",21.9,""2026-02-15 12:30:00"",-47.1,1376.8,""2026-02-15 13:52:00"",122.8,10.6,45.2,826.5,""2026-02-15 01:22:00"",831.6,""2026-02-15 22:11:00"",829.3,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-15 06:33:00"",13.6,""2026-02-15 13:52:00"",12.8,15.7,""2026-02-16 00:00:00"",25.5,""2026-02-15 12:59:00"",18.4,3.7,161.1,86400.0,21.9,""2026-02-15 12:31:00"",1.9,0.1,3.3,1.9,14.1,""2026-02-15 23:59:00"",1.8,4.2,16.7,21.4,14.6"
"2026-02-17 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-16 06:27:00"",10.7,""2026-02-16 00:16:00"",2.8,1.5,198.4,32.9,11.1,""2026-02-16 05:46:00"",14.2,""2026-02-16 00:00:00"",12.6,0.2,""2026-02-16 07:24:00"",0.4,""2026-02-16 14:06:00"",-56.1,""2026-02-16 05:50:00"",-50.5,""2026-02-16 00:00:00"",-53.0,374.8,""2026-02-16 12:56:00"",80.7,7.0,1.4,828.4,""2026-02-16 17:08:00"",831.3,""2026-02-16 09:53:00"",829.9,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.3,""2026-02-16 05:46:00"",14.3,""2026-02-16 16:07:00"",12.9,12.4,""2026-02-16 06:04:00"",17.9,""2026-02-16 14:22:00"",14.8,3.7,139.3,86400.0,14.1,""2026-02-16 00:00:00"",1.5,0.0,0.8,0.0,11.1,""2026-02-16 05:38:00"",1.1,4.2,13.0,14.6,11.6"
"2026-02-18 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-17 00:12:00"",7.0,""2026-02-17 21:40:00"",2.0,1.0,137.6,40.6,12.5,""2026-02-17 02:43:00"",17.8,""2026-02-17 12:49:00"",14.4,0.2,""2026-02-17 00:10:00"",0.4,""2026-02-17 12:48:00"",-54.9,""2026-02-17 00:10:00"",-47.0,""2026-02-17 12:48:00"",-51.4,1503.5,""2026-02-17 11:59:00"",122.8,10.6,1.6,826.5,""2026-02-17 15:59:00"",829.5,""2026-02-17 00:06:00"",828.0,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-17 05:24:00"",14.4,""2026-02-17 09:18:00"",12.9,13.7,""2026-02-17 02:59:00"",23.6,""2026-02-17 12:53:00"",17.0,3.7,147.1,86400.0,17.8,""2026-02-17 12:49:00"",1.6,0.0,1.8,1.6,12.6,""2026-02-17 02:50:00"",1.7,4.2,14.8,18.4,13.0"
