",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"",""ETXs"",""Rso"",""Tot"",""Min"",""TMn"",""Avg"",""Avg"",""Max"",""TMx"",""Min"",""TMn"",""Smp"",""Smp"",""Avg"",""Max"",""TMx"",""Min"",""TMn"""
"2026-02-09 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-08 00:01:24"",7.3,""2026-02-08 19:17:41"",1.8,1.2,239.4,73.4,16.1,""2026-02-08 06:14:41"",30.4,""2026-02-08 13:17:16"",22.6,34.8,""2026-02-08 16:58:46"",85.5,""2026-02-08 06:15:16"",12.5,""2026-02-08 17:03:21"",17.1,""2026-02-08 08:46:16"",14.7,1129.8,""2026-02-08 13:19:30"",304.6,26.3,0.0,832.3,""2026-02-08 16:49:14"",837.1,""2026-02-08 23:51:57"",835.1,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-08 05:39:02"",13.8,""2026-02-08 07:30:45"",13.1,19.3,""2026-02-08 05:59:48"",41.8,""2026-02-08 17:00:01"",29.1,""OK ON POWER UP"",55.5,86400.0,5.0,3.8,9.2,16.1,""2026-02-08 06:14:41"",32.5,38.6,66.3,""2026-02-08 12:47:01"",19.3,""2026-02-08 06:14:44"",1.0,6.0,38.6,66.3,""2026-02-08 12:47:01"",19.3,""2026-02-08 06:14:44"""
"2026-02-10 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-09 00:51:10"",4.8,""2026-02-09 03:45:29"",1.4,0.8,150.5,72.5,17.0,""2026-02-09 06:01:51"",29.8,""2026-02-09 14:23:56"",21.9,39.5,""2026-02-09 15:03:21"",85.9,""2026-02-09 06:19:46"",12.7,""2026-02-09 16:13:31"",16.9,""2026-02-09 19:13:16"",14.8,1231.4,""2026-02-09 12:45:57"",245.7,21.2,0.0,833.5,""2026-02-09 17:23:14"",838.3,""2026-02-09 07:35:20"",836.2,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-09 04:56:49"",14.7,""2026-02-09 07:59:47"",13.1,20.1,""2026-02-09 02:50:43"",40.1,""2026-02-09 14:11:01"",28.1,""OK ON POWER UP"",53.8,86400.0,4.1,3.8,5.4,17.0,""2026-02-09 06:01:51"",31.0,36.1,59.5,""2026-02-09 13:16:55"",20.1,""2026-02-09 06:20:16"",1.0,7.0,36.1,59.5,""2026-02-09 13:16:55"",20.1,""2026-02-09 06:20:16"""
"2026-02-11 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-10 00:37:05"",7.3,""2026-02-10 10:20:29"",1.7,1.1,283.5,54.2,16.7,""2026-02-10 04:07:56"",29.1,""2026-02-10 12:53:11"",21.9,43.5,""2026-02-10 13:51:21"",84.3,""2026-02-10 04:08:21"",13.5,""2026-02-10 05:53:31"",17.4,""2026-02-10 12:51:16"",14.9,1220.8,""2026-02-10 11:48:46"",271.8,23.5,0.0,833.4,""2026-02-10 16:34:20"",837.1,""2026-02-10 08:06:29"",835.6,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-10 05:39:02"",14.0,""2026-02-10 07:38:57"",13.1,19.7,""2026-02-10 04:24:54"",39.3,""2026-02-10 13:53:59"",28.1,""OK ON POWER UP"",54.5,86400.0,4.5,3.8,6.6,16.7,""2026-02-10 04:07:56"",31.2,36.9,62.0,""2026-02-10 15:05:23"",20.2,""2026-02-10 04:08:16"",1.0,8.0,36.9,62.0,""2026-02-10 15:05:23"",20.2,""2026-02-10 04:08:16"""
"2026-02-12 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-11 00:26:56"",8.8,""2026-02-11 13:55:31"",1.7,1.5,269.6,70.2,15.5,""2026-02-11 06:12:51"",28.9,""2026-02-11 13:55:21"",21.9,42.6,""2026-02-11 13:58:31"",86.0,""2026-02-11 06:14:36"",13.1,""2026-02-11 06:11:56"",17.2,""2026-02-11 12:52:31"",14.8,1194.0,""2026-02-11 12:19:16"",291.8,25.2,0.0,833.1,""2026-02-11 16:16:03"",837.0,""2026-02-11 08:00:57"",835.3,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-11 05:42:51"",13.8,""2026-02-11 07:33:29"",13.1,18.4,""2026-02-11 05:51:39"",37.9,""2026-02-11 14:05:26"",27.7,""OK ON POWER UP"",53.6,86400.0,4.8,3.8,8.9,15.5,""2026-02-11 06:12:51"",31.4,36.9,64.9,""2026-02-11 13:55:31"",18.5,""2026-02-11 06:13:51"",1.0,9.0,36.9,64.9,""2026-02-11 13:55:31"",18.5,""2026-02-11 06:13:51"""
"2026-02-13 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-12 00:00:01"",10.8,""2026-02-12 15:00:43"",1.5,1.1,171.0,46.6,15.8,""2026-02-12 20:31:01"",27.5,""2026-02-12 11:55:51"",19.9,52.1,""2026-02-12 12:20:36"",95.6,""2026-02-12 23:42:46"",13.8,""2026-02-12 20:09:26"",18.7,""2026-02-12 11:48:26"",15.8,1444.3,""2026-02-12 11:46:50"",167.0,14.4,33.3,832.5,""2026-02-12 16:58:35"",837.0,""2026-02-12 08:56:47"",835.2,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-12 04:57:26"",14.0,""2026-02-12 07:40:40"",13.1,18.8,""2026-02-12 20:38:40"",38.1,""2026-02-12 12:05:00"",24.9,""OK ON POWER UP"",54.0,86400.0,2.6,3.8,3.7,15.8,""2026-02-12 20:31:01"",25.1,30.5,63.4,""2026-02-12 14:59:48"",16.1,""2026-02-12 23:36:31"",0.5,0.0,15.3,40.3,""2026-02-12 08:33:09"",1.6,""2026-02-12 23:36:31"""
"2026-02-14 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-13 00:05:55"",9.3,""2026-02-13 16:52:57"",2.0,1.4,289.8,42.7,15.4,""2026-02-13 02:42:41"",25.9,""2026-02-13 13:36:21"",19.1,49.4,""2026-02-13 14:30:16"",95.5,""2026-02-13 02:22:51"",13.7,""2026-02-13 23:49:21"",17.8,""2026-02-13 13:35:31"",15.1,1402.2,""2026-02-13 13:03:57"",171.8,14.8,3.5,827.8,""2026-02-13 18:11:34"",835.8,""2026-02-13 00:00:38"",831.3,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.5,""2026-02-13 04:58:01"",13.8,""2026-02-13 09:19:51"",13.1,18.3,""2026-02-13 03:04:01"",34.6,""2026-02-13 14:30:16"",23.9,""OK ON POWER UP"",54.1,86400.0,2.6,3.8,2.9,15.4,""2026-02-13 02:42:41"",24.1,30.6,58.8,""2026-02-13 14:15:17"",15.6,""2026-02-13 02:44:46"",0.5,0.0,11.9,21.4,""2026-02-13 14:15:17"",6.3,""2026-02-13 07:21:10"""
"2026-02-15 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-14 00:00:06"",12.0,""2026-02-14 15:17:54"",2.2,1.4,123.6,70.7,11.9,""2026-02-14 23:59:16"",25.9,""2026-02-14 13:39:26"",17.4,51.8,""2026-02-14 12:00:56"",89.0,""2026-02-14 20:55:01"",9.7,""2026-02-14 23:57:46"",18.9,""2026-02-14 13:16:26"",13.2,1382.8,""2026-02-14 13:59:20"",191.1,16.5,0.8,827.9,""2026-02-14 02:33:53"",837.4,""2026-02-14 23:59:14"",831.5,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-14 06:48:09"",13.9,""2026-02-14 17:29:57"",13.1,15.4,""2026-02-14 23:44:35"",36.6,""2026-02-14 14:01:45"",23.2,""OK ON POWER UP"",54.3,86400.0,2.8,3.8,4.5,11.9,""2026-02-14 23:59:16"",22.9,30.0,56.8,""2026-02-14 15:17:53"",15.3,""2026-02-14 21:10:25"",0.5,0.0,15.9,32.1,""2026-02-14 13:58:24"",6.9,""2026-02-14 21:10:25"""
"2026-02-16 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-15 10:28:54"",8.0,""2026-02-15 00:43:19"",2.6,0.8,118.1,20.3,10.7,""2026-02-15 05:55:11"",16.5,""2026-02-15 13:29:26"",13.0,69.1,""2026-02-15 13:17:16"",89.0,""2026-02-15 03:10:06"",8.4,""2026-02-15 06:53:46"",11.7,""2026-02-15 16:31:01"",9.8,1010.5,""2026-02-15 13:14:22"",111.7,9.7,0.0,837.3,""2026-02-15 00:00:43"",841.0,""2026-02-15 23:01:52"",839.1,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-15 06:24:39"",13.9,""2026-02-15 09:02:24"",13.2,14.3,""2026-02-15 06:13:33"",25.0,""2026-02-15 13:40:16"",18.4,""OK ON POWER UP"",54.2,86400.0,1.4,3.8,0.8,10.7,""2026-02-15 05:55:11"",17.3,25.7,39.0,""2026-02-15 13:30:09"",13.4,""2026-02-15 03:41:13"",0.7,1.0,15.7,25.4,""2026-02-15 20:03:08"",7.0,""2026-02-15 03:41:13"""
"2026-02-17 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-16 04:03:16"",6.7,""2026-02-16 09:04:04"",1.9,0.9,131.9,34.7,10.7,""2026-02-16 05:48:21"",21.0,""2026-02-16 14:46:11"",14.9,44.5,""2026-02-16 13:14:26"",88.7,""2026-02-16 03:41:16"",7.2,""2026-02-16 13:14:26"",12.6,""2026-02-16 14:45:21"",9.6,1051.6,""2026-02-16 12:26:21"",321.9,27.8,0.0,836.6,""2026-02-16 23:38:34"",840.7,""2026-02-16 00:31:47"",838.7,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-16 05:43:34"",14.0,""2026-02-16 07:49:35"",13.2,14.2,""2026-02-16 05:37:07"",31.3,""2026-02-16 15:00:27"",21.2,""OK ON POWER UP"",52.7,86400.0,4.5,3.8,9.5,10.7,""2026-02-16 05:48:21"",22.1,28.6,49.7,""2026-02-16 13:32:36"",13.2,""2026-02-16 04:13:51"",0.9,2.0,23.5,41.2,""2026-02-16 14:50:13"",9.9,""2026-02-16 04:13:51"""
"2026-02-18 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-17 00:07:12"",8.3,""2026-02-17 17:46:12"",1.3,1.0,343.8,79.7,9.8,""2026-02-17 05:44:51"",26.2,""2026-02-17 12:31:41"",17.1,45.4,""2026-02-17 12:31:56"",93.1,""2026-02-17 05:52:46"",8.6,""2026-02-17 05:44:06"",15.6,""2026-02-17 12:28:06"",11.8,1348.2,""2026-02-17 13:19:56"",236.6,20.4,0.0,830.2,""2026-02-17 16:15:49"",836.7,""2026-02-17 00:00:03"",833.3,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.5,""2026-02-17 05:53:49"",13.9,""2026-02-17 07:23:37"",13.2,12.5,""2026-02-17 05:36:07"",35.4,""2026-02-17 12:46:46"",23.0,""OK ON POWER UP"",55.2,86400.0,3.6,3.8,6.0,9.1,""2026-02-17 05:24:36"",24.1,28.8,55.9,""2026-02-17 12:31:44"",10.6,""2026-02-17 05:49:27"",1.0,3.0,28.0,54.7,""2026-02-17 12:31:44"",9.9,""2026-02-17 05:49:27"""
