",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"",""ETXs"",""Rso"",""Tot"",""Min"",""TMn"",""Avg"",""Avg"",""Max"",""TMx"",""Min"",""TMn"",""Smp"",""Smp"",""Avg"",""Max"",""TMx"",""Min"",""TMn"""
"2026-02-19 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-18 00:00:01"",9.8,""2026-02-18 12:00:41"",1.6,1.5,247.2,69.9,13.4,""2026-02-18 03:45:56"",26.6,""2026-02-18 15:29:56"",19.6,40.0,""2026-02-18 13:34:11"",90.9,""2026-02-18 05:57:51"",10.4,""2026-02-18 13:34:11"",15.4,""2026-02-18 09:38:01"",12.6,1188.9,""2026-02-18 12:13:35"",286.3,24.7,0.0,829.4,""2026-02-18 16:15:39"",832.6,""2026-02-18 23:27:43"",831.0,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-18 04:58:33"",13.8,""2026-02-18 07:17:40"",13.2,15.5,""2026-02-18 04:00:46"",35.2,""2026-02-18 15:01:37"",25.1,""OK ON POWER UP"",55.2,86400.0,4.5,3.7,8.5,13.4,""2026-02-18 03:45:56"",28.5,33.7,67.1,""2026-02-18 15:51:16"",15.1,""2026-02-18 05:55:16"",1.0,4.0,33.7,67.1,""2026-02-18 15:51:16"",15.1,""2026-02-18 05:55:16"""
"2026-02-20 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-19 00:00:34"",8.0,""2026-02-19 13:46:47"",1.3,1.1,183.2,72.5,11.6,""2026-02-19 04:54:26"",29.1,""2026-02-19 13:29:16"",19.8,34.3,""2026-02-19 13:22:31"",94.9,""2026-02-19 05:27:01"",10.1,""2026-02-19 18:28:31"",16.8,""2026-02-19 09:10:31"",12.6,1292.8,""2026-02-19 13:37:51"",273.7,23.6,0.1,832.3,""2026-02-19 17:02:28"",835.9,""2026-02-19 23:44:59"",833.3,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-19 04:57:58"",13.8,""2026-02-19 07:24:45"",13.1,14.2,""2026-02-19 05:33:54"",39.6,""2026-02-19 12:16:55"",25.6,""OK ON POWER UP"",54.7,86400.0,4.4,3.7,8.0,11.6,""2026-02-19 04:54:26"",28.9,33.4,62.0,""2026-02-19 13:12:51"",12.3,""2026-02-19 05:00:31"",1.0,5.0,33.4,62.0,""2026-02-19 13:12:51"",12.3,""2026-02-19 05:00:31"""
"2026-02-21 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-20 08:44:20"",8.2,""2026-02-20 22:56:25"",1.5,0.9,171.2,62.4,13.6,""2026-02-20 05:12:11"",29.3,""2026-02-20 13:57:36"",20.7,39.6,""2026-02-20 14:27:26"",84.6,""2026-02-20 04:14:56"",11.0,""2026-02-20 05:13:56"",17.1,""2026-02-20 12:23:31"",13.3,1139.9,""2026-02-20 14:10:53"",294.4,25.4,0.0,834.1,""2026-02-20 16:46:06"",838.5,""2026-02-20 23:31:24"",836.1,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-20 05:50:06"",13.8,""2026-02-20 07:28:39"",13.1,16.3,""2026-02-20 05:28:26"",41.3,""2026-02-20 14:14:52"",27.4,""OK ON POWER UP"",54.1,86400.0,4.8,3.7,9.7,13.6,""2026-02-20 05:12:11"",30.4,35.7,59.5,""2026-02-20 14:36:44"",17.8,""2026-02-20 05:22:46"",1.0,6.0,35.7,59.5,""2026-02-20 14:36:44"",17.8,""2026-02-20 05:22:46"""
"2026-02-22 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-21 00:40:52"",9.0,""2026-02-21 15:57:50"",1.4,1.0,178.6,63.0,15.3,""2026-02-21 04:28:06"",27.0,""2026-02-21 14:20:41"",19.3,48.1,""2026-02-21 14:25:11"",88.2,""2026-02-21 06:46:46"",13.0,""2026-02-21 06:15:16"",16.8,""2026-02-21 14:12:51"",14.3,1246.9,""2026-02-21 13:22:37"",194.6,16.8,0.0,834.6,""2026-02-21 15:39:36"",838.5,""2026-02-21 00:06:38"",837.0,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-21 06:18:04"",13.8,""2026-02-21 08:11:57"",13.1,18.3,""2026-02-21 04:39:24"",37.3,""2026-02-21 14:35:20"",25.4,""OK ON POWER UP"",57.2,86400.0,3.1,3.7,5.3,15.3,""2026-02-21 04:28:06"",25.9,30.9,55.7,""2026-02-21 14:21:33"",17.8,""2026-02-21 06:38:21"",1.0,7.0,30.9,55.7,""2026-02-21 14:21:33"",17.8,""2026-02-21 06:38:21"""
"2026-02-23 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-22 00:02:15"",8.5,""2026-02-22 14:19:33"",1.4,1.1,198.9,78.1,15.5,""2026-02-22 04:09:56"",24.9,""2026-02-22 10:44:06"",19.0,59.8,""2026-02-22 16:42:01"",91.7,""2026-02-22 04:14:11"",13.9,""2026-02-22 05:16:46"",17.3,""2026-02-22 10:44:06"",15.0,1341.1,""2026-02-22 11:22:38"",168.4,14.6,0.0,831.9,""2026-02-22 16:39:25"",837.0,""2026-02-22 00:14:52"",834.6,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-22 05:05:17"",14.2,""2026-02-22 07:46:57"",13.2,18.5,""2026-02-22 03:42:56"",34.5,""2026-02-22 10:53:19"",24.8,""OK ON POWER UP"",56.2,86400.0,2.7,3.7,3.1,15.5,""2026-02-22 04:09:56"",24.4,29.3,52.0,""2026-02-22 14:01:17"",16.9,""2026-02-22 04:13:57"",1.0,8.0,29.3,52.0,""2026-02-22 14:01:17"",16.9,""2026-02-22 04:13:57"""
"2026-02-24 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-23 00:11:43"",7.7,""2026-02-23 11:08:15"",1.3,1.1,277.4,68.0,15.8,""2026-02-23 07:31:16"",20.0,""2026-02-23 11:58:06"",17.4,75.8,""2026-02-23 15:44:16"",96.4,""2026-02-23 08:29:21"",13.9,""2026-02-23 03:20:41"",16.9,""2026-02-23 10:59:11"",15.1,532.2,""2026-02-23 10:54:58"",78.3,6.8,8.9,828.4,""2026-02-23 18:29:13"",833.8,""2026-02-23 00:00:13"",830.5,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-23 07:57:54"",13.8,""2026-02-23 11:28:13"",13.1,19.2,""2026-02-23 07:28:23"",27.0,""2026-02-23 12:01:23"",21.6,""OK ON POWER UP"",54.9,86400.0,1.2,3.7,0.2,15.8,""2026-02-23 07:31:16"",20.0,24.5,44.2,""2026-02-23 11:08:14"",15.9,""2026-02-23 08:03:21"",0.5,0.0,10.6,30.4,""2026-02-23 00:03:32"",3.6,""2026-02-23 23:59:26"""
"2026-02-25 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-24 00:00:01"",12.0,""2026-02-24 13:34:45"",3.0,1.6,284.5,26.4,14.4,""2026-02-24 22:57:06"",24.2,""2026-02-24 14:44:56"",18.6,46.5,""2026-02-24 14:59:51"",94.0,""2026-02-24 00:39:46"",10.6,""2026-02-24 23:09:26"",15.4,""2026-02-24 00:03:31"",13.1,1577.1,""2026-02-24 12:14:02"",272.8,23.6,4.0,825.6,""2026-02-24 16:25:00"",828.5,""2026-02-24 00:57:45"",827.3,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-24 04:58:47"",13.8,""2026-02-24 08:15:44"",13.2,17.1,""2026-02-24 23:50:00"",33.3,""2026-02-24 15:00:35"",23.9,""OK ON POWER UP"",56.9,86400.0,3.9,3.7,6.9,14.4,""2026-02-24 22:57:06"",25.9,34.9,72.3,""2026-02-24 13:34:45"",16.3,""2026-02-24 03:31:36"",0.5,0.0,12.5,25.2,""2026-02-24 13:34:45"",6.0,""2026-02-24 04:06:17"""
"2026-02-26 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-25 02:03:43"",7.7,""2026-02-25 01:17:59"",1.3,0.9,162.4,79.9,11.5,""2026-02-25 06:05:26"",27.3,""2026-02-25 14:49:26"",19.7,44.6,""2026-02-25 13:24:51"",89.8,""2026-02-25 23:53:31"",9.2,""2026-02-25 06:05:26"",16.5,""2026-02-25 14:09:41"",12.9,1352.3,""2026-02-25 12:09:28"",302.6,26.1,0.0,827.5,""2026-02-25 01:51:15"",834.4,""2026-02-25 23:38:57"",830.8,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-25 04:58:11"",13.8,""2026-02-25 07:27:07"",13.1,13.7,""2026-02-25 05:37:52"",38.3,""2026-02-25 15:00:12"",26.2,""OK ON POWER UP"",59.7,86400.0,4.9,3.7,9.6,11.5,""2026-02-25 06:05:26"",28.8,33.4,57.1,""2026-02-25 14:14:32"",14.7,""2026-02-25 05:58:23"",0.7,1.0,20.5,36.3,""2026-02-25 15:10:48"",8.0,""2026-02-25 04:51:11"""
"2026-02-27 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-26 00:21:18"",10.7,""2026-02-26 13:16:23"",1.7,1.2,235.1,70.9,15.7,""2026-02-26 03:11:51"",27.8,""2026-02-26 14:37:56"",21.0,39.8,""2026-02-26 14:03:21"",92.2,""2026-02-26 03:00:21"",11.6,""2026-02-26 14:03:26"",17.1,""2026-02-26 11:53:51"",14.3,1266.5,""2026-02-26 12:05:52"",287.1,24.8,0.0,832.7,""2026-02-26 17:18:30"",835.7,""2026-02-26 08:22:24"",834.2,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-26 04:56:33"",13.8,""2026-02-26 07:22:17"",13.1,17.8,""2026-02-26 03:58:00"",38.5,""2026-02-26 15:33:12"",27.1,""OK ON POWER UP"",55.9,86400.0,4.6,3.6,8.9,15.7,""2026-02-26 03:11:51"",29.4,35.2,70.7,""2026-02-26 13:16:22"",16.7,""2026-02-26 03:00:42"",0.9,2.0,29.0,58.4,""2026-02-26 13:16:23"",12.4,""2026-02-26 03:00:42"""
"2026-02-28 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-27 00:04:53"",7.3,""2026-02-27 16:57:37"",1.4,1.1,201.9,65.1,13.5,""2026-02-27 05:49:06"",28.2,""2026-02-27 15:37:11"",20.2,37.9,""2026-02-27 14:02:26"",91.4,""2026-02-27 23:28:36"",11.2,""2026-02-27 04:19:46"",17.3,""2026-02-27 10:07:51"",14.0,1191.7,""2026-02-27 11:30:07"",275.7,23.8,0.0,830.7,""2026-02-27 16:56:20"",835.3,""2026-02-27 08:52:14"",833.1,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-27 04:57:01"",13.8,""2026-02-27 07:21:37"",13.1,15.5,""2026-02-27 04:38:40"",37.5,""2026-02-27 13:32:42"",26.4,""OK ON POWER UP"",56.0,86400.0,4.5,3.6,9.4,13.5,""2026-02-27 05:49:06"",27.9,32.8,64.8,""2026-02-27 16:20:58"",15.5,""2026-02-27 05:52:11"",1.0,3.0,31.9,64.8,""2026-02-27 16:20:58"",14.5,""2026-02-27 05:52:11"""
