TIMESTAMP,seqnum,Rain_Tot,who
2026-05-01,1430011,10.9,7
2026-05-02,1430011,8.8,7
2026-05-03,1430011,0,7
2026-05-04,1430011,0,7
2026-05-05,1430011,9.7,7
2026-05-06,1430011,15.9,7
2026-05-07,1430011,0,7
2026-05-08,1430011,0.1,7
2026-05-09,1430011,0,7
2026-05-10,1430011,0.1,7
2026-05-11,1430011,6.2,7
2026-05-12,1430011,0,7
2026-05-13,1430011,0,7
2026-05-14,1430011,0,7
2026-05-15,1430011,0.2,7
2026-05-16,1430011,0,7
2026-05-17,1430011,0,7
2026-05-18,1430011,0,7
2026-05-19,1430011,0,7
2026-05-20,1430011,0,7
2026-05-21,1430011,0,7
2026-05-22,1430011,0.1,7
2026-05-23,1430011,0,7
2026-05-24,1430011,0.1,7
2026-05-25,1430011,0.1,7
2026-05-26,1430011,0,7
2026-05-27,1430011,0.2,7
2026-05-28,1430011,0.1,7
2026-05-29,1430011,0,7
2026-05-30,1430011,0,7
2026-05-31,1430011,0,7
