"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt_Avg"",""PingTime_Avg"",""ScanCount"",""HI_C_Max"",""HI_C_TMx"",""SVPWkPa_Avg"",""Vp_Avg"",""TwC_Avg"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"",""ETos"",""Rso"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"",""V"",""msec"","""",""Deg C"",""Deg C"",""kPa"","""",""Deg C"",""hours"",""Deg C"",""Deg C"",""mm"",""MJ/m²"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Min"",""TMn"",""ETXs"",""Rso"""
"2026-08-09 00:00:00,""AMRF_Nyika_5828"",0.9,""2026-08-08 11:51:00"",11.4,""2026-08-08 08:45:00"",4.9,1.3,72.9,19.0,8.1,""2026-08-08 07:42:00"",17.1,""2026-08-08 13:44:00"",11.4,52.0,""2026-08-08 13:45:00"",94.7,""2026-08-08 05:11:00"",4.7,""2026-08-08 12:40:00"",8.8,""2026-08-08 07:42:00"",7.7,1013.6,""2026-08-08 11:15:00"",242.4,20.9,0.0,771.5,""2026-08-08 03:32:00"",774.2,""2026-08-08 09:45:00"",772.6,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-08 06:30:00"",14.4,""2026-08-08 08:27:00"",12.8,8.8,""2026-08-08 06:23:00"",20.6,""2026-08-08 14:41:00"",13.1,3.7,112.7,86400.0,17.1,""2026-08-08 13:44:00"",1.4,1.1,9.2,9.4,4.6,""2026-08-08 06:44:00"",2.7,3.4"
"2026-08-10 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-09 12:14:00"",10.7,""2026-08-09 08:48:00"",4.0,1.4,67.1,21.1,7.9,""2026-08-09 05:11:00"",19.9,""2026-08-09 13:58:00"",11.6,41.8,""2026-08-09 12:38:00"",93.8,""2026-08-09 23:53:00"",5.3,""2026-08-09 12:31:00"",8.3,""2026-08-09 11:02:00"",7.3,983.8,""2026-08-09 11:03:00"",248.6,21.5,0.0,771.0,""2026-08-09 03:05:00"",773.7,""2026-08-09 10:20:00"",772.1,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-09 06:22:00"",14.5,""2026-08-09 08:28:00"",12.8,8.1,""2026-08-09 05:49:00"",23.6,""2026-08-09 14:13:00"",13.3,3.7,102.7,86400.0,19.9,""2026-08-09 13:58:00"",1.4,1.0,9.1,9.1,3.6,""2026-08-09 05:10:00"",2.9,3.4"
"2026-08-11 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-10 09:22:00"",9.9,""2026-08-10 11:32:00"",3.3,1.3,58.3,45.3,7.5,""2026-08-10 05:48:00"",22.1,""2026-08-10 13:13:00"",12.6,23.2,""2026-08-10 11:22:00"",95.0,""2026-08-10 05:49:00"",-0.3,""2026-08-10 11:22:00"",10.6,""2026-08-10 14:30:00"",7.8,1013.2,""2026-08-10 13:28:00"",237.5,20.5,0.0,770.5,""2026-08-10 02:36:00"",773.5,""2026-08-10 09:50:00"",771.9,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-10 05:30:00"",14.4,""2026-08-10 12:15:00"",12.8,7.6,""2026-08-10 06:02:00"",26.5,""2026-08-10 14:21:00"",14.5,3.7,124.6,86400.0,22.1,""2026-08-10 13:13:00"",1.5,1.1,9.8,7.9,4.1,""2026-08-10 05:42:00"",3.0,3.4"
"2026-08-12 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-11 09:54:00"",8.4,""2026-08-11 08:01:00"",3.6,1.1,63.7,41.6,7.1,""2026-08-11 05:47:00"",22.6,""2026-08-11 12:42:00"",12.6,24.3,""2026-08-11 11:16:00"",93.6,""2026-08-11 00:03:00"",-0.4,""2026-08-11 10:29:00"",8.2,""2026-08-11 08:23:00"",5.6,966.3,""2026-08-11 13:06:00"",254.3,22.0,0.0,770.8,""2026-08-11 03:45:00"",773.9,""2026-08-11 10:18:00"",772.3,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-11 06:18:00"",14.3,""2026-08-11 08:16:00"",12.8,6.8,""2026-08-11 06:05:00"",26.4,""2026-08-11 13:09:00"",14.2,3.7,97.7,86400.0,22.6,""2026-08-11 12:42:00"",1.5,0.9,8.7,9.6,3.7,""2026-08-11 05:49:00"",3.1,3.5"
"2026-08-13 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-12 04:08:00"",14.4,""2026-08-12 12:34:00"",5.6,2.0,66.6,17.1,6.9,""2026-08-12 04:46:00"",18.8,""2026-08-12 11:58:00"",11.9,26.3,""2026-08-12 12:11:00"",90.3,""2026-08-12 05:21:00"",-1.2,""2026-08-12 12:38:00"",7.9,""2026-08-12 21:42:00"",5.4,889.2,""2026-08-12 11:44:00"",259.4,22.4,0.0,771.5,""2026-08-12 03:25:00"",775.1,""2026-08-12 22:47:00"",773.4,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-12 21:16:00"",14.3,""2026-08-12 08:11:00"",12.8,6.2,""2026-08-12 04:52:00"",20.9,""2026-08-12 12:37:00"",13.0,3.7,100.3,86400.0,18.8,""2026-08-12 11:58:00"",1.4,0.9,8.3,10.5,3.0,""2026-08-12 05:17:00"",2.8,3.5"
"2026-08-14 00:00:00,""AMRF_Nyika_5828"",0.9,""2026-08-13 12:54:00"",14.4,""2026-08-13 06:07:00"",6.4,1.8,80.7,19.6,6.2,""2026-08-13 09:38:00"",16.3,""2026-08-13 13:17:00"",11.3,50.6,""2026-08-13 13:42:00"",93.1,""2026-08-13 23:58:00"",-1.8,""2026-08-13 09:38:00"",8.8,""2026-08-13 20:52:00"",7.2,1119.4,""2026-08-13 11:07:00"",223.2,19.3,0.0,772.6,""2026-08-13 03:38:00"",776.2,""2026-08-13 09:39:00"",774.7,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.1,""2026-08-13 06:03:00"",14.4,""2026-08-13 08:36:00"",12.9,8.5,""2026-08-13 04:11:00"",20.0,""2026-08-13 13:55:00"",12.8,3.7,127.5,86400.0,16.3,""2026-08-13 13:17:00"",1.4,1.0,8.9,8.3,3.9,""2026-08-13 04:05:00"",2.3,3.5"
"2026-08-15 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-14 13:11:00"",11.4,""2026-08-14 00:01:00"",4.2,1.5,100.7,27.6,7.7,""2026-08-14 23:55:00"",17.4,""2026-08-14 14:20:00"",11.1,45.5,""2026-08-14 14:29:00"",94.6,""2026-08-14 23:59:00"",-1.6,""2026-08-14 10:01:00"",8.5,""2026-08-14 00:16:00"",6.9,1146.3,""2026-08-14 11:41:00"",226.4,19.6,0.0,772.5,""2026-08-14 15:23:00"",775.2,""2026-08-14 09:45:00"",773.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-14 05:56:00"",14.4,""2026-08-14 08:47:00"",12.8,7.6,""2026-08-14 20:05:00"",21.5,""2026-08-14 15:40:00"",12.9,3.7,114.8,86400.0,17.3,""2026-08-14 14:20:00"",1.3,1.0,8.7,7.7,4.5,""2026-08-14 23:35:00"",2.6,3.5"
"2026-08-16 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-15 03:23:00"",7.0,""2026-08-15 00:18:00"",2.5,1.1,105.3,59.0,6.0,""2026-08-15 04:39:00"",17.1,""2026-08-15 10:47:00"",9.8,40.9,""2026-08-15 10:48:00"",95.6,""2026-08-15 07:43:00"",0.1,""2026-08-15 08:56:00"",8.6,""2026-08-15 07:51:00"",6.5,1314.1,""2026-08-15 10:48:00"",125.0,10.8,0.0,771.1,""2026-08-15 04:15:00"",773.8,""2026-08-15 09:44:00"",772.4,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-15 05:36:00"",14.4,""2026-08-15 09:44:00"",12.7,5.9,""2026-08-15 04:52:00"",22.1,""2026-08-15 10:59:00"",11.4,3.7,121.3,86400.0,17.1,""2026-08-15 10:48:00"",1.2,1.0,7.9,3.3,3.2,""2026-08-15 04:02:00"",1.5,3.5"
"2026-08-17 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-16 00:00:00"",8.4,""2026-08-16 13:13:00"",2.1,1.4,34.6,59.9,5.6,""2026-08-16 06:11:00"",18.6,""2026-08-16 13:13:00"",10.7,39.7,""2026-08-16 13:13:00"",93.8,""2026-08-16 04:24:00"",4.0,""2026-08-16 15:03:00"",7.1,""2026-08-16 21:42:00"",5.6,1193.5,""2026-08-16 11:55:00"",229.6,19.8,0.0,771.3,""2026-08-16 03:58:00"",774.2,""2026-08-16 10:12:00"",772.7,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.2,""2026-08-16 05:40:00"",14.4,""2026-08-16 08:52:00"",12.8,6.0,""2026-08-16 04:25:00"",22.8,""2026-08-16 13:31:00"",12.6,3.7,122.6,86400.0,18.6,""2026-08-16 13:13:00"",1.3,0.9,7.8,8.4,2.5,""2026-08-16 05:59:00"",2.9,3.5"
"2026-08-18 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-17 09:46:00"",9.9,""2026-08-17 10:52:00"",2.5,1.1,42.8,51.0,5.4,""2026-08-17 03:40:00"",19.8,""2026-08-17 12:19:00"",11.0,40.1,""2026-08-17 12:38:00"",94.2,""2026-08-17 06:23:00"",4.3,""2026-08-17 11:07:00"",8.0,""2026-08-17 07:46:00"",5.8,1191.2,""2026-08-17 12:21:00"",241.0,20.8,0.0,771.7,""2026-08-17 15:15:00"",774.1,""2026-08-17 09:15:00"",772.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-17 05:51:00"",14.4,""2026-08-17 08:23:00"",12.8,5.2,""2026-08-17 04:04:00"",25.0,""2026-08-17 12:44:00"",12.8,3.7,114.8,86400.0,19.8,""2026-08-17 12:19:00"",1.4,0.9,8.1,8.1,2.3,""2026-08-17 04:39:00"",3.1,3.5"
"2026-08-19 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-18 09:23:00"",8.4,""2026-08-18 10:17:00"",2.5,1.0,49.1,55.7,5.6,""2026-08-18 06:09:00"",18.5,""2026-08-18 11:28:00"",10.8,40.7,""2026-08-18 10:54:00"",90.8,""2026-08-18 06:10:00"",-1.4,""2026-08-18 21:49:00"",7.7,""2026-08-18 14:33:00"",4.4,1218.9,""2026-08-18 11:21:00"",207.9,18.0,0.0,771.6,""2026-08-18 15:53:00"",774.0,""2026-08-18 10:03:00"",772.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-18 06:01:00"",14.3,""2026-08-18 08:16:00"",12.8,5.2,""2026-08-18 05:50:00"",23.0,""2026-08-18 11:34:00"",12.4,3.7,124.9,86400.0,18.4,""2026-08-18 11:27:00"",1.3,0.8,7.3,6.8,2.8,""2026-08-18 05:37:00"",2.6,3.5"
"2026-08-20 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-19 06:24:00"",9.9,""2026-08-19 07:48:00"",3.2,1.4,57.2,42.8,4.7,""2026-08-19 06:00:00"",20.6,""2026-08-19 13:50:00"",10.6,32.8,""2026-08-19 13:03:00"",91.3,""2026-08-19 23:58:00"",-0.4,""2026-08-19 09:15:00"",6.4,""2026-08-19 07:33:00"",4.4,911.3,""2026-08-19 11:02:00"",260.8,22.5,0.0,772.0,""2026-08-19 03:01:00"",774.7,""2026-08-19 10:02:00"",773.3,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-19 06:01:00"",14.3,""2026-08-19 08:07:00"",12.8,4.4,""2026-08-19 06:08:00"",25.0,""2026-08-19 15:44:00"",12.3,3.7,125.5,86400.0,20.6,""2026-08-19 13:50:00"",1.3,0.8,7.2,9.3,1.5,""2026-08-19 05:57:00"",3.1,3.6"
"2026-08-21 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-20 09:22:00"",8.4,""2026-08-20 16:58:00"",3.3,1.3,67.6,36.3,6.2,""2026-08-20 04:28:00"",19.5,""2026-08-20 12:28:00"",10.8,35.7,""2026-08-20 12:03:00"",94.8,""2026-08-20 06:55:00"",3.2,""2026-08-20 12:03:00"",8.9,""2026-08-20 07:50:00"",5.9,1221.0,""2026-08-20 11:41:00"",182.8,15.8,0.0,772.6,""2026-08-20 03:42:00"",775.3,""2026-08-20 10:07:00"",773.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-20 05:55:00"",14.3,""2026-08-20 08:22:00"",12.8,6.3,""2026-08-20 04:40:00"",24.2,""2026-08-20 12:40:00"",12.7,3.7,122.9,86400.0,19.5,""2026-08-20 12:28:00"",1.3,0.9,8.0,5.5,3.0,""2026-08-20 04:30:00"",2.2,3.6"
"2026-08-22 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-21 10:46:00"",10.7,""2026-08-21 08:33:00"",3.8,1.4,70.8,29.6,6.6,""2026-08-21 05:25:00"",20.1,""2026-08-21 12:37:00"",10.9,33.0,""2026-08-21 12:37:00"",90.4,""2026-08-21 02:18:00"",-1.6,""2026-08-21 08:21:00"",7.8,""2026-08-21 20:10:00"",5.9,1146.7,""2026-08-21 11:58:00"",199.1,17.2,0.0,772.7,""2026-08-21 15:13:00"",775.3,""2026-08-21 09:37:00"",774.0,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.2,""2026-08-21 06:03:00"",14.3,""2026-08-21 08:33:00"",12.8,6.3,""2026-08-21 05:43:00"",24.8,""2026-08-21 13:42:00"",12.5,3.7,103.7,86400.0,20.1,""2026-08-21 12:37:00"",1.3,0.9,8.1,6.3,3.2,""2026-08-21 06:00:00"",2.3,3.6"
