"Timestamp, ""WSpeed_Avg"", ""WSpeed_Max"", ""WSpeed_TMx"", ""WDir_AVG"", ""WDir_STD"", ""AirTemp_Min"", ""AirTemp_TMn"", ""AirTemp_Max"", ""AirTemp_TMx"", ""AirTemp_Avg"", ""RH_Min"", ""RH_TMn"", ""RH_Max"", ""RH_TMx"", ""RH"", ""Rain_Tot"", ""SlrW_Avg"", ""SlrW_Max"", ""SlrW_TMx"", ""SlrMJ_Tot"", ""TdewC_Avg"", ""TwetC_Avg"", ""HeatIndex_C_Max"", ""WindChill_Min"", ""Sunshine_Hrs_Tot"", ""Satured_Vapour_Pressure_AVG"", ""Vapour_Pressure_AVG"", ""Vpd_Avg"", ""ETos"", ""Rso"""
"2026/01/13 24:00, 1.6, 7.7, ""2026/01/13 00:53"", 68.6, 72.1, 19.2, ""2026/01/13 06:33"", 28.2, ""2026/01/13 15:04"", 22.1, 67.6, ""2026/01/13 15:07"", 100.0, ""2026/01/13 04:49"", 100.0, 0.0, 260.7, 1,212.9, ""2026/01/13 11:32"", 22.5, 20.6, 21.0, 31.6, 19.2, 6.0, 2.7, 2.4, 0.3, NAN, 3.8"
"2026/01/14 24:00, 1.7, 9.2, ""2026/01/14 21:53"", 335.2, 55.7, 18.4, ""2026/01/14 05:01"", 30.1, ""2026/01/14 15:07"", 23.3, 54.2, ""2026/01/14 15:38"", 100.0, ""2026/01/13 24:00"", 84.5, 0.0, 312.1, 1,242.3, ""2026/01/14 12:40"", 27.0, 20.1, 21.0, 33.4, 18.4, 7.9, 2.9, 2.4, 0.6, NAN, 3.8"
"2026/01/15 24:00, 2.3, 10.7, ""2026/01/15 01:01"", 124.3, 65.2, 16.3, ""2026/01/15 22:37"", 25.6, ""2026/01/15 13:28"", 19.8, 78.4, ""2026/01/15 13:24"", 100.0, ""2026/01/15 15:49"", 99.6, 1.4, 195.2, 1,358.4, ""2026/01/15 12:08"", 16.9, 18.7, 19.0, 25.6, 16.3, 3.8, 2.3, 2.2, 0.2, 2.9, 3.8"
"2026/01/16 24:00, 1.2, 6.2, ""2026/01/16 15:15"", 118.6, 33.2, 15.9, ""2026/01/16 21:16"", 21.2, ""2026/01/16 15:35"", 17.5, 88.4, ""2026/01/16 12:45"", 100.0, ""2026/01/16 01:58"", 97.7, 0.2, 130.8, 1,146.6, ""2026/01/16 13:20"", 11.3, 17.2, 17.3, 21.2, 15.9, 4.1, 2.0, 2.0, 0.1, 1.9, 3.8"
"2026/01/17 24:00, 0.8, 5.5, ""2026/01/17 13:19"", 72.8, 57.4, 16.1, ""2026/01/17 04:48"", 23.7, ""2026/01/17 15:52"", 18.8, 84.2, ""2026/01/17 12:29"", 100.0, ""2026/01/17 20:16"", 98.7, 0.6, 165.3, 1,561.0, ""2026/01/17 12:27"", 14.3, 18.2, 18.4, 23.7, 16.1, 4.3, 2.2, 2.1, 0.1, 2.6, 3.8"
"2026/01/18 24:00, 1.5, 8.4, ""2026/01/18 16:29"", 159.9, 62.6, 12.1, ""2026/01/18 22:28"", 21.1, ""2026/01/18 09:36"", 17.7, 78.0, ""2026/01/18 16:14"", 100.0, ""2026/01/18 03:05"", 99.2, 0.0, 93.2, 1,246.5, ""2026/01/18 14:00"", 8.1, 16.6, 17.0, 21.1, 12.1, 2.6, 2.0, 1.9, 0.1, 1.4, 3.8"
"2026/01/19 24:00, 0.9, 7.0, ""2026/01/19 20:46"", 124.5, 59.3, 12.5, ""2026/01/19 00:10"", 17.1, ""2026/01/19 12:20"", 14.2, 89.9, ""2026/01/19 12:48"", 100.0, ""2026/01/19 00:11"", 97.6, 1.2, 83.1, 720.4, ""2026/01/19 12:20"", 7.2, 13.9, 14.0, 17.1, 12.5, 1.3, 1.6, 1.6, 0.0, NAN, 3.9"
"2026/01/20 24:00, 1.6, 8.4, ""2026/01/20 12:27"", 149.7, 43.3, 13.2, ""2026/01/20 01:07"", 22.0, ""2026/01/20 15:45"", 16.1, 64.5, ""2026/01/20 13:57"", 100.0, ""2026/01/20 23:43"", 100.0, 2.0, 212.9, 1,536.4, ""2026/01/20 11:30"", 18.4, 14.4, 15.0, 22.0, 13.2, 5.1, 1.8, 1.6, 0.2, 3.0, 3.9"
"2026/01/21 24:00, 1.4, 7.0, ""2026/01/21 14:10"", 101.2, 54.1, 12.7, ""2026/01/21 06:04"", 21.8, ""2026/01/21 12:32"", 16.4, 74.1, ""2026/01/21 12:35"", 100.0, ""2026/01/20 24:00"", 99.0, 0.8, 231.5, 1,432.8, ""2026/01/21 12:33"", 20.0, 15.5, 15.8, 21.8, 12.7, 5.3, 1.9, 1.8, 0.1, 3.4, 3.8"
"2026/01/22 24:00, 2.1, 14.4, ""2026/01/22 15:33"", 306.2, 52.1, 15.8, ""2026/01/21 24:00"", 30.1, ""2026/01/22 14:06"", 22.2, 46.6, ""2026/01/22 11:00"", 99.3, ""2026/01/22 00:32"", 83.4, 1.6, 258.1, 1,451.0, ""2026/01/22 12:31"", 22.3, 16.8, 18.5, 32.6, 15.8, 7.1, 2.8, 1.9, 0.8, NAN, 3.8"
"2026/01/23 24:00, 1.5, 9.2, ""2026/01/23 00:06"", 112.0, 47.9, 16.0, ""2026/01/23 21:35"", 24.2, ""2026/01/23 12:13"", 18.6, 65.3, ""2026/01/23 09:54"", 100.0, ""2026/01/23 18:05"", 97.3, 2.2, 240.6, 1,267.7, ""2026/01/23 12:58"", 20.8, 16.2, 17.0, 24.2, 16.0, 7.8, 2.2, 1.8, 0.3, 3.6, 3.8"
"2026/01/24 24:00, 1.2, 8.4, ""2026/01/24 13:58"", 81.3, 49.5, 16.1, ""2026/01/24 01:32"", 25.4, ""2026/01/24 11:38"", 18.7, 73.2, ""2026/01/24 11:52"", 100.0, ""2026/01/24 15:41"", 97.9, 4.0, 230.7, 1,243.8, ""2026/01/24 10:07"", 19.9, 18.0, 18.2, 25.4, 16.1, 5.8, 2.2, 2.1, 0.1, NAN, 3.8"
"2026/01/25 24:00, 1.2, 7.0, ""2026/01/25 13:24"", 74.4, 55.6, 18.1, ""2026/01/25 00:15"", 29.1, ""2026/01/25 12:46"", 21.8, 73.3, ""2026/01/25 12:47"", 100.0, ""2026/01/25 16:47"", 98.0, 0.4, 263.9, 1,175.2, ""2026/01/25 11:02"", 22.8, 20.9, 21.1, 34.5, 18.1, 7.4, 2.7, 2.5, 0.2, NAN, 3.7"
"2026/01/26 24:00, 1.6, 9.2, ""2026/01/26 08:31"", 343.8, 62.0, 16.6, ""2026/01/26 05:57"", 34.6, ""2026/01/26 15:59"", 24.9, 39.3, ""2026/01/26 16:01"", 100.0, ""2026/01/26 04:27"", 73.1, 0.0, 313.3, 954.2, ""2026/01/26 12:23"", 27.1, 20.2, 21.5, 42.4, 16.6, 8.5, 3.3, 2.4, 0.9, 5.3, 3.7"
"2026/01/27 24:00, 1.5, 8.4, ""2026/01/27 01:19"", 117.2, 73.7, 17.9, ""2026/01/27 05:40"", 30.4, ""2026/01/27 13:05"", 23.3, 53.5, ""2026/01/27 12:56"", 100.0, ""2026/01/27 02:17"", 98.8, 0.0, 273.9, 956.2, ""2026/01/27 12:31"", 23.7, 20.3, 21.1, 34.8, 17.9, 8.1, 2.9, 2.4, 0.5, 4.5, 3.7"
"2026/01/28 24:00, 1.8, 10.7, ""2026/01/28 22:18"", 131.5, 70.9, 17.7, ""2026/01/28 23:59"", 31.1, ""2026/01/28 14:51"", 23.0, 55.2, ""2026/01/28 14:52"", 99.9, ""2026/01/28 21:22"", 97.7, 22.0, 278.2, 1,297.2, ""2026/01/28 10:53"", 24.0, 20.5, 21.2, 35.2, 17.7, 7.4, 2.9, 2.4, 0.5, 4.5, 3.7"
"2026/01/29 24:00, 1.4, 7.0, ""2026/01/29 02:57"", 103.0, 69.3, 16.4, ""2026/01/29 04:24"", 25.5, ""2026/01/29 13:57"", 19.6, 72.9, ""2026/01/29 13:46"", 100.0, ""2026/01/29 03:22"", 97.6, 0.8, 155.0, 1,271.1, ""2026/01/29 13:52"", 13.4, 18.6, 18.9, 25.5, 16.4, 4.0, 2.3, 2.2, 0.1, NAN, 3.8"
"2026/01/30 24:00, 1.3, 7.7, ""2026/01/30 15:22"", 78.5, 51.3, 18.0, ""2026/01/30 00:48"", 28.8, ""2026/01/30 14:00"", 21.5, 63.9, ""2026/01/30 14:18"", 100.0, ""2026/01/30 17:03"", 97.8, 0.8, 251.0, 999.1, ""2026/01/30 13:09"", 21.7, 20.2, 20.6, 32.4, 18.0, 6.7, 2.6, 2.4, 0.2, 4.1, 3.7"
"2026/01/31 24:00, 2.0, 8.4, ""2026/01/31 15:09"", 126.9, 62.0, 17.5, ""2026/01/31 05:47"", 27.2, ""2026/01/31 13:19"", 21.4, 70.6, ""2026/01/31 13:21"", 100.0, ""2026/01/31 19:53"", 100.0, 1.0, 290.6, 1,301.6, ""2026/01/31 12:31"", 25.1, 19.9, 20.3, 29.6, 17.5, 8.1, 2.6, 2.3, 0.3, 4.5, 3.7"
